INFO 2020-07-08 20:01:20,869 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-08 20:01:34,466 basehttp 157 "GET / HTTP/1.1" 200 16351
WARNING 2020-07-08 20:01:34,951 log 228 Not Found: /favicon.ico
WARNING 2020-07-08 20:01:34,952 basehttp 157 "GET /favicon.ico HTTP/1.1" 404 1972
INFO 2020-07-08 20:07:45,590 autoreload 598 Watching for file changes with StatReloader
ERROR 2020-07-08 20:08:07,135 exception 77 Invalid HTTP_HOST header: '127.0.0.1:9001'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-07-08 20:08:07,405 log 228 Bad Request: /
WARNING 2020-07-08 20:08:07,406 basehttp 157 "GET / HTTP/1.1" 400 73124
ERROR 2020-07-08 20:08:07,809 exception 77 Invalid HTTP_HOST header: '127.0.0.1:9001'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-07-08 20:08:07,843 log 228 Bad Request: /favicon.ico
WARNING 2020-07-08 20:08:07,845 basehttp 157 "GET /favicon.ico HTTP/1.1" 400 73035
INFO 2020-07-08 20:12:11,922 autoreload 222 C:\Users\Ñîºé¾Ù\PycharmProjects\bz\bz_edu\bz_edu\settings\develop.py changed, reloading.
INFO 2020-07-08 20:12:17,450 autoreload 598 Watching for file changes with StatReloader
INFO 2020-07-08 20:14:15,149 autoreload 598 Watching for file changes with StatReloader
ERROR 2020-07-08 20:43:09,462 exception 77 Invalid HTTP_HOST header: '127.0.0.1:9001'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-07-08 20:43:10,090 log 228 Bad Request: /
WARNING 2020-07-08 20:43:10,092 basehttp 157 "GET / HTTP/1.1" 400 73116
ERROR 2020-07-08 20:43:10,629 exception 77 Invalid HTTP_HOST header: '127.0.0.1:9001'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-07-08 20:43:10,666 log 228 Bad Request: /favicon.ico
WARNING 2020-07-08 20:43:10,667 basehttp 157 "GET /favicon.ico HTTP/1.1" 400 73027
INFO 2020-07-08 20:47:46,658 autoreload 598 Watching for file changes with StatReloader
